,,,,,,How important were each of the following factors in making it possible for you to acquire a PEV?,,,,,,,,,,,,
County,Lease/Purchase,Vehicle Category,Make,4) Which of these factors was the most important reason why you decided to acquire a PEV? If it is not listed please describe it.,Other (please explain):Which of these factors was the most important reason why you decided to acquire a PEV?,5a) Federal Tax Incentives,5b) State Rebate (CVRP),5c) The option to lease a PEV,5d) Access to workplace charging,5e) Other incentive program,6) Have you already or will you be applying for an HOV lane sticker?,Disadvantaged Community,Weight,,,,,
Alameda,Lease,BEV,Nissan,2,,4,4,5,5,,1,0,1.232783915,,,,,
Sacramento,Purchase,BEV,Nissan,2,,5,5,2,1,1,1,0,0.578416512,,,,,
Los Angeles,Purchase,PHEV,Toyota,2,,4,4,1,4,1,1,0,1.30723249,,,,,
Marin,Purchase,BEV,Tesla,2,,5,5,1,3,4,1,0,0.812308197,,,,,
Santa Clara,Purchase,BEV,Other,2,,3,3,1,1,1,1,0,0.85164308,,,,,
San Francisco,Lease,BEV,Other,2,,1,1,4,1,1,1,0,1.045584819,,,,,
Alameda,Lease,BEV,Nissan,2,,5,5,5,5,5,1,0,1.175142704,,,,,
Los Angeles,Lease,BEV,Nissan,2,,5,5,5,,,1,0,1.204829103,,,,,
Orange,Lease,PHEV,Chevrolet,2,,1,3,5,1,1,1,0,1.278290776,,,,,
Santa Clara,Lease,PHEV,Chevrolet,2,,2,2,2,3,1,1,0,1.276157154,,,,,
San Francisco,Purchase,PHEV,Ford,2,,5,5,1,2,1,0,0,0.821472054,,,,,
Contra Costa,Purchase,PHEV,Toyota,2,,3,,,3,4,1,0,1.287399861,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,2,,5,5,1,2,,1,0,0.984694837,,,,,
San Diego,Purchase,BEV,Nissan,2,,4,2,,,,0,0,0.777761526,,,,,
San Diego,Lease,BEV,Other,2,,5,5,5,5,5,0,0,0.707296707,,,,,
Ventura,Purchase,PHEV,Toyota,2,,3,4,1,3,4,1,0,1.064939449,,,,,
Alameda,Purchase,PHEV,Chevrolet,2,,5,5,,5,3,1,0,1.007542027,,,,,
Marin,Lease,BEV,Nissan,2,,5,5,5,5,5,1,0,1.089948913,,,,,
Alameda,Lease,BEV,Other,2,,5,5,3,1,,1,0,0.856545448,,,,,
Los Angeles,Purchase,PHEV,Other,2,,5,5,2,5,2,1,0,0.863450739,,,,,
Los Angeles,Purchase,BEV,Ford,2,,5,5,1,3,2,1,0,0.755757382,,,,,
Santa Clara,Lease,BEV,Nissan,2,,4,4,4,4,4,1,0,1.224368966,,,,,
Sacramento,Purchase,BEV,Tesla,2,,5,5,1,2,1,1,0,0.686951782,,,,,
Los Angeles,Purchase,BEV,Other,2,,5,5,1,1,2,1,0,0.656407095,,,,,
San Francisco,Lease,BEV,Other,2,,5,5,3,3,1,1,0,1.045584819,,,,,
Santa Clara,Purchase,BEV,Nissan,2,,3,4,2,1,1,1,0,0.960056248,,,,,
San Mateo,Lease,BEV,BMW,2,,4,4,2,1,2,1,0,0.899840517,,,,,
Ventura,Purchase,BEV,Tesla,2,,3,3,1,1,1,0,0,0.777963697,,,,,
Sonoma,Lease,BEV,Nissan,2,,3,4,4,2,3,1,0,0.972531242,,,,,
Los Angeles,Lease,PHEV,Chevrolet,2,,2,2,4,1,2,1,0,1.255790796,,,,,
Los Angeles,Purchase,BEV,Tesla,2,,5,5,1,1,3,1,0,0.954964549,,,,,
Stanislaus,Lease,BEV,Other,2,,5,5,5,1,5,1,0,0.5513827,,,,,
Monterey,Purchase,BEV,Tesla,2,,3,1,,1,1,1,0,0.720558011,,,,,
Los Angeles,Lease,BEV,Other,2,,4,4,5,2,4,1,0,0.859142089,,,,,
Los Angeles,Purchase,BEV,BMW,2,,3,3,1,3,1,1,0,0.704139152,,,,,
Napa,Purchase,PHEV,Toyota,2,,4,4,1,1,1,1,0,0.973299805,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,2,,5,5,1,1,5,1,0,0.984694837,,,,,
Humboldt,Lease,PHEV,Toyota,2,,5,5,5,5,5,1,0,1.291294992,,,,,
Los Angeles,Purchase,BEV,Tesla,2,,4,4,1,5,4,1,0,0.954964549,,,,,
Los Angeles,Purchase,BEV,Tesla,2,,5,4,2,2,2,1,0,0.954964549,,,,,
Los Angeles,Purchase,BEV,Tesla,2,,4,4,1,1,1,1,0,0.954964549,,,,,
Orange,Lease,PHEV,Ford,2,,5,4,4,5,3,1,0,1.241917261,,,,,
Contra Costa,Lease,BEV,FIAT,2,,5,5,5,3,1,1,0,1.093000139,,,,,
Marin,Purchase,BEV,Tesla,2,,3,2,1,2,1,1,0,0.863908889,,,,,
Sacramento,Lease,BEV,Chevrolet,2,,1,4,3,1,1,1,0,0.631554631,,,,,
Los Angeles,Lease,PHEV,Toyota,2,,1,4,5,5,5,1,0,1.667126168,,,,,
Santa Cruz,Purchase,BEV,Tesla,2,,3,4,2,1,4,1,0,0.786968927,,,,,
Los Angeles,Lease,BEV,Tesla,2,,3,3,5,4,1,1,0,1.217875474,,,,,
Riverside,Purchase,PHEV,Toyota,2,,3,3,1,1,1,0,0,1.130911067,,,,,
Los Angeles,Lease,BEV,Other,2,,5,5,4,1,4,1,0,0.837122282,,,,,
Orange,Lease,BEV,FIAT,2,,5,5,4,1,4,1,0,1.129722952,,,,,
Los Angeles,Lease,BEV,Nissan,2,,3,4,3,5,,1,1,1.025456666,,,,,
Sonoma,Purchase,PHEV,Ford,2,,5,5,5,4,3,1,0,0.772223086,,,,,
Contra Costa,Purchase,BEV,Tesla,2,,3,2,1,2,2,1,0,0.94047634,,,,,
Contra Costa,Purchase,PHEV,Ford,2,,5,5,1,1,5,1,0,0.826952459,,,,,
San Diego,Lease,BEV,Nissan,2,,5,5,4,1,5,1,0,0.991886754,,,,,
Los Angeles,Lease,BEV,Nissan,2,,1,4,4,1,1,1,0,1.025456666,,,,,
Santa Clara,Lease,BEV,Nissan,2,,4,4,4,5,4,1,0,1.224368966,,,,,
Los Angeles,Lease,BEV,Tesla,2,,5,5,5,5,3,1,1,1.145132597,,,,,
Santa Clara,Purchase,BEV,Tesla,2,,5,5,1,3,1,0,0,0.970452121,,,,,
San Mateo,Lease,BEV,Other,2,,5,5,3,4,5,1,0,0.860907342,,,,,
Contra Costa,Purchase,PHEV,Ford,2,,3,3,3,2,1,1,0,0.826952459,,,,,
San Diego,Purchase,PHEV,Toyota,2,,4,4,1,1,1,1,0,1.076191294,,,,,
Placer,Purchase,BEV,Tesla,2,,5,5,5,5,5,1,0,0.739562188,,,,,
Los Angeles,Purchase,BEV,Nissan,2,,5,4,2,5,3,1,0,0.804084476,,,,,
Alameda,Purchase,PHEV,Chevrolet,2,,5,5,1,2,1,1,0,1.007542027,,,,,
Contra Costa,Lease,PHEV,Ford,2,,3,3,3,2,1,1,0,1.201547457,,,,,
Alameda,Purchase,BEV,Nissan,2,,5,5,5,5,5,1,0,0.966654605,,,,,
Los Angeles,Lease,BEV,Nissan,2,,4,4,5,5,3,1,0,1.025456666,,,,,
Santa Clara,Purchase,BEV,Nissan,2,,5,4,1,1,1,0,1,0.817125081,,,,,
Alameda,Purchase,BEV,Tesla,2,,4,4,1,5,1,1,0,0.977121928,,,,,
Marin,Purchase,BEV,Tesla,2,,4,4,2,4,,1,0,0.863908889,,,,,
San Diego,Purchase,BEV,Tesla,2,,5,5,3,4,3,1,0,0.786183438,,,,,
Los Angeles,Lease,PHEV,Chevrolet,2,,3,3,4,2,3,1,0,1.255790796,,,,,
Los Angeles,Lease,PHEV,Chevrolet,2,,5,5,4,4,3,1,0,1.255790796,,,,,
San Mateo,Purchase,PHEV,Ford,2,,1,1,1,1,1,0,0,0.958641189,,,,,
Alameda,Lease,BEV,Nissan,2,,4,4,1,1,1,1,0,1.175142704,,,,,
Los Angeles,Lease,PHEV,Toyota,2,,5,5,5,5,5,1,0,1.667126168,,,,,
Marin,Purchase,BEV,Tesla,2,,4,4,1,1,1,1,0,0.863908889,,,,,
Santa Clara,Purchase,PHEV,Ford,2,,3,3,1,1,1,1,0,0.972190857,,,,,
Orange,Purchase,BEV,Tesla,2,,5,4,1,1,1,1,0,0.972074631,,,,,
Orange,Purchase,BEV,Nissan,2,,5,5,1,2,5,1,0,0.961661377,,,,,
Santa Clara,Lease,BEV,FIAT,2,,4,4,4,1,3,1,0,1.127837307,,,,,
Yolo,Purchase,PHEV,Other,2,,3,3,1,3,1,0,0,0.655138702,,,,,
Orange,Lease,BEV,FIAT,2,,5,5,5,3,5,1,0,1.129722952,,,,,
San Diego,Purchase,BEV,Tesla,2,,2,2,1,1,1,1,0,0.786183438,,,,,
San Diego,Lease,BEV,Nissan,2,,5,3,5,1,2,1,0,0.844216728,,,,,
Napa,Purchase,BEV,Tesla,2,,4,5,1,1,1,1,0,0.66855008,,,,,
Humboldt,Lease,BEV,Nissan,2,,1,5,5,2,1,0,0,0.933216584,,,,,
Orange,Lease,BEV,Other,2,,4,5,4,4,4,1,0,0.874535321,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,2,,5,5,1,1,1,1,0,0.984694837,,,,,
Alameda,Purchase,PHEV,Other,2,,4,4,1,2,2,1,0,0.58632147,,,,,
San Diego,Purchase,BEV,Nissan,2,,5,5,3,1,4,1,0,0.661970016,,,,,
Santa Cruz,Lease,BEV,Nissan,2,,3,3,4,1,,1,0,0.845060199,,,,,
Santa Clara,Lease,BEV,Nissan,2,,5,5,5,1,1,1,0,1.224368966,,,,,
Alameda,Lease,BEV,Nissan,2,,5,5,5,5,5,1,0,1.232783915,,,,,
San Diego,Lease,BEV,Other,2,,1,1,3,1,1,1,0,0.689168697,,,,,
Orange,Purchase,BEV,Chevrolet,2,,3,3,1,1,1,1,0,0.700758935,,,,,
San Mateo,Lease,BEV,Nissan,2,,4,4,4,4,3,1,0,1.207304629,,,,,
Alameda,Lease,BEV,Nissan,2,,5,5,4,4,5,1,0,1.232783915,,,,,
Fresno,Purchase,BEV,Tesla,2,,3,3,1,1,1,0,0,0.781419268,,,,,
Alameda,Purchase,BEV,Nissan,2,,5,5,1,1,1,1,0,0.966654605,,,,,
Los Angeles,Purchase,PHEV,Toyota,2,,4,,,4,,1,0,1.30723249,,,,,
San Diego,Lease,BEV,Other,2,,5,5,,,,1,0,0.707296707,,,,,
Los Angeles,Lease,BEV,Chevrolet,2,,4,4,5,3,3,0,0,0.877954319,,,,,
San Mateo,Purchase,PHEV,Ford,2,,5,4,1,1,4,1,0,0.841417101,,,,,
Orange,Lease,BEV,Chevrolet,2,,4,5,5,3,3,1,0,0.89368461,,,,,
Alameda,Lease,BEV,Chevrolet,2,,5,5,5,3,2,1,0,0.898324883,,,,,
Los Angeles,Lease,BEV,Tesla,2,,5,5,5,,,1,0,1.217875474,,,,,
Los Angeles,Lease,BEV,Other,2,,5,4,5,5,4,1,0,0.859142089,,,,,
Sacramento,Lease,BEV,Nissan,2,,4,5,5,5,4,1,0,0.826167494,,,,,
Ventura,Lease,BEV,BMW,2,,5,5,5,1,1,1,0,0.731553698,,,,,
Los Angeles,Lease,BEV,FIAT,2,,3,3,5,1,1,1,0,1.109838005,,,,,
Santa Clara,Lease,BEV,Other,2,,4,4,5,4,,1,0,1.007250795,,,,,
Napa,Purchase,BEV,Nissan,2,,5,5,1,5,5,1,0,0.598681007,,,,,
San Diego,Lease,BEV,Nissan,2,,4,4,4,4,4,1,0,0.945509159,,,,,
Santa Clara,Purchase,BEV,BMW,2,,3,3,1,1,1,1,0,0.715558849,,,,,
Los Angeles,Lease,BEV,Other,2,,5,5,5,5,3,1,0,1.068775263,,,,,
Los Angeles,Lease,BEV,Other,2,,5,5,5,1,4,1,0,0.991175949,,,,,
San Francisco,Lease,BEV,Other,2,,4,4,5,3,1,1,0,0.840500296,,,,,
Santa Clara,Lease,BEV,FIAT,2,,5,5,5,5,4,1,0,1.127837307,,,,,
Riverside,Purchase,PHEV,Ford,2,,3,3,2,3,3,1,0,0.726432956,,,,,
Orange,Purchase,BEV,Tesla,2,,4,4,3,4,1,1,0,0.972074631,,,,,
Contra Costa,Purchase,BEV,Tesla,2,,5,5,1,2,1,1,0,0.884302325,,,,,
Alameda,Lease,PHEV,Chevrolet,2,,4,2,5,3,,1,0,1.284928037,,,,,
Los Angeles,Lease,BEV,Tesla,2,,1,4,5,3,5,1,0,1.217875474,,,,,
Santa Clara,Lease,PHEV,Chevrolet,2,,3,4,4,1,1,1,0,1.276157154,,,,,
Sacramento,Lease,BEV,Other,2,,5,5,5,3,5,1,0,0.602182189,,,,,
Los Angeles,Lease,BEV,Other,2,,4,3,4,1,1,1,0,0.991175949,,,,,
Sonoma,Lease,BEV,Other,2,,4,4,5,2,1,1,0,0.800071624,,,,,
San Diego,Purchase,BEV,Other,2,,3,2,1,1,1,1,0,0.54039324,,,,,
San Mateo,Purchase,BEV,Tesla,2,,5,5,1,1,,1,0,0.956926686,,,,,
Los Angeles,Lease,BEV,FIAT,2,,5,5,4,3,3,1,0,1.109838005,,,,,
Orange,Lease,BEV,Other,2,,5,5,5,5,5,1,0,0.852120986,,,,,
Santa Clara,Lease,BEV,FIAT,2,,5,5,5,1,1,1,0,1.127837307,,,,,
Los Angeles,Lease,BEV,Other,2,,5,4,4,1,5,1,0,0.859142089,,,,,
Santa Clara,Purchase,BEV,Nissan,2,,5,4,1,3,3,1,0,0.91516695,,,,,
San Francisco,Lease,BEV,Other,2,,1,3,1,1,1,1,0,1.045584819,,,,,
Orange,Purchase,BEV,Nissan,2,,4,4,1,1,1,1,0,0.961661377,,,,,
San Diego,Lease,BEV,Other,2,,4,4,1,1,1,1,0,0.689168697,,,,,
Santa Clara,Purchase,PHEV,Ford,2,,5,4,2,3,1,1,0,0.972190857,,,,,
Sacramento,Purchase,BEV,Tesla,2,,5,2,1,1,1,1,0,0.686951782,,,,,
Los Angeles,Lease,BEV,FIAT,2,,5,5,4,3,4,0,1,1.109838005,,,,,
Alameda,Purchase,PHEV,Toyota,2,,3,3,1,,1,1,0,1.337563297,,,,,
San Diego,Purchase,PHEV,Toyota,2,,4,4,1,1,1,1,0,1.076191294,,,,,
Los Angeles,Purchase,BEV,BMW,2,,5,5,1,2,1,1,0,0.704139152,,,,,
Los Angeles,Lease,PHEV,Chevrolet,2,,5,5,4,5,5,1,0,1.255790796,,,,,
San Diego,Purchase,PHEV,Toyota,2,,3,3,1,4,1,1,0,1.076191294,,,,,
Los Angeles,Purchase,BEV,Nissan,2,,2,2,1,2,1,1,0,0.900561682,,,,,
Los Angeles,Lease,PHEV,Toyota,2,,,,5,,5,1,0,1.667126168,,,,,
Santa Clara,Purchase,BEV,Other,2,,5,5,1,5,2,1,0,0.667052676,,,,,
San Diego,Purchase,PHEV,Chevrolet,2,,4,3,1,2,,1,0,0.810659174,,,,,
Los Angeles,Lease,BEV,Tesla,2,,5,5,4,5,,1,0,1.217875474,,,,,
Santa Clara,Purchase,PHEV,Toyota,2,,4,4,1,1,4,1,0,1.328433127,,,,,
Los Angeles,Purchase,BEV,Nissan,2,,5,5,1,1,1,0,0,0.944734586,,,,,
San Francisco,Purchase,PHEV,Toyota,2,,2,2,1,1,1,1,0,1.278867966,,,,,
Orange,Purchase,PHEV,Toyota,2,,4,4,1,3,4,1,0,1.33065415,,,,,
Alameda,Lease,BEV,Other,2,,1,2,4,1,1,0,0,1.093573312,,,,,
Santa Clara,Lease,PHEV,Ford,2,,5,5,5,5,3,1,0,1.239844351,,,,,
San Francisco,Purchase,PHEV,Chevrolet,2,,5,5,1,1,4,1,0,0.963328782,,,,,
Fresno,Lease,BEV,Nissan,2,,5,5,5,,,0,1,1.048502385,,,,,
Orange,Purchase,PHEV,Toyota,2,,5,5,1,3,4,1,0,1.33065415,,,,,
Los Angeles,Lease,BEV,Other,2,,3,3,4,3,3,1,0,0.859142089,,,,,
San Francisco,Lease,BEV,Other,2,,4,5,4,4,1,0,0,1.045584819,,,,,
San Mateo,Lease,BEV,Nissan,2,,4,4,4,1,1,1,0,1.207304629,,,,,
Los Angeles,Purchase,PHEV,Ford,2,,4,4,1,1,1,1,0,0.839691812,,,,,
Los Angeles,Purchase,BEV,Tesla,2,,2,2,1,1,1,1,0,0.954964549,,,,,
Santa Clara,Lease,BEV,Toyota,2,,5,5,4,3,3,1,0,0.922875324,,,,,
Santa Clara,Lease,BEV,Nissan,2,,5,5,5,5,,1,0,1.224368966,,,,,
Contra Costa,Lease,BEV,Toyota,2,,4,4,4,2,1,1,0,0.894369118,,,,,
San Francisco,Lease,BEV,FIAT,2,,3,4,5,2,1,1,0,1.085756575,,,,,
Santa Clara,Lease,PHEV,Ford,2,,5,5,5,5,5,1,0,1.239844351,,,,,
Santa Clara,Lease,PHEV,Ford,2,,5,5,5,1,5,1,0,1.239844351,,,,,
Yolo,Purchase,BEV,Nissan,2,,5,5,3,1,1,0,0,0.610094863,,,,,
Marin,Purchase,PHEV,Toyota,2,,2,2,1,1,1,1,0,1.18258816,,,,,
Santa Clara,Purchase,BEV,BMW,2,,3,2,1,1,1,1,0,0.715558849,,,,,
Los Angeles,Purchase,BEV,Nissan,2,,4,4,1,5,5,1,1,0.944734586,,,,,
Alameda,Lease,BEV,Chevrolet,2,,1,2,4,1,4,1,0,0.898324883,,,,,
Alameda,Lease,BEV,FIAT,2,,4,4,5,1,1,1,0,1.135588805,,,,,
Santa Clara,Purchase,BEV,Tesla,2,,3,3,1,5,1,1,0,0.912487673,,,,,
Marin,Lease,BEV,Other,2,,5,5,5,3,1,0,0,0.966867777,,,,,
Los Angeles,Lease,BEV,Other,2,,5,5,5,1,5,1,0,0.859142089,,,,,
San Luis Obispo,Lease,BEV,Other,2,,5,5,4,1,1,1,0,0.498505028,,,,,
Contra Costa,Lease,BEV,Nissan,2,,4,5,4,5,,1,0,1.186550083,,,,,
Marin,Purchase,BEV,Nissan,2,,5,5,1,4,2,1,0,0.727415198,,,,,
San Bernardino,Lease,BEV,Other,2,,3,3,3,4,3,1,0,0.917227578,,,,,
Los Angeles,Lease,BEV,BMW,2,,4,2,3,1,2,1,0,0.897995433,,,,,
Orange,Purchase,BEV,Nissan,2,,5,5,1,1,1,1,1,0.818491242,,,,,
Santa Cruz,Purchase,PHEV,Ford,2,,5,5,1,3,1,1,0,0.788378921,,,,,
Los Angeles,Lease,BEV,FIAT,2,,4,5,5,3,5,1,1,1.109838005,,,,,
San Mateo,Purchase,BEV,Tesla,2,,2,2,1,3,1,1,0,0.956926686,,,,,
Contra Costa,Lease,BEV,FIAT,2,,4,4,5,,,1,0,1.093000139,,,,,
Los Angeles,Purchase,BEV,BMW,2,,4,4,1,3,2,1,0,0.704139152,,,,,
Los Angeles,Lease,BEV,Ford,2,,3,3,3,1,1,1,0,0.963824658,,,,,
San Mateo,Lease,BEV,Chevrolet,2,,5,5,5,3,1,1,0,0.879758225,,,,,
Los Angeles,Lease,BEV,Tesla,2,,1,4,4,2,1,1,0,1.145132597,,,,,
Contra Costa,Purchase,BEV,Ford,2,,5,5,1,4,5,1,0,0.744291437,,,,,
Orange,Lease,BEV,Other,2,,5,5,5,1,4,0,0,0.874535321,,,,,
Contra Costa,Lease,BEV,Nissan,2,,3,3,5,5,1,1,0,1.186550083,,,,,
Alameda,Purchase,BEV,Tesla,2,,3,5,1,5,3,1,0,0.977121928,,,,,
Mendocino,Lease,BEV,Other,2,,2,2,2,1,1,1,0,0.537063342,,,,,
Los Angeles,Purchase,BEV,Tesla,2,,2,2,1,2,2,1,0,0.954964549,,,,,
Alameda,Lease,BEV,Nissan,2,,5,5,5,5,1,1,0,1.175142704,,,,,
Ventura,Lease,BEV,Tesla,2,,3,3,5,2,3,1,0,0.932884461,,,,,
San Diego,Lease,BEV,Toyota,2,,5,5,5,4,5,1,0,0.747640486,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,2,,4,4,1,2,3,1,0,0.984694837,,,,,
Los Angeles,Purchase,BEV,Other,2,,2,3,1,4,1,1,0,0.673673339,,,,,
Santa Clara,Lease,BEV,Nissan,2,,5,5,5,5,5,1,0,1.224368966,,,,,
San Mateo,Lease,BEV,Chevrolet,2,,4,4,5,2,1,1,0,0.879758225,,,,,
Santa Clara,Lease,BEV,Toyota,2,,5,5,5,1,1,1,0,0.922875324,,,,,
Ventura,Purchase,BEV,Tesla,2,,4,4,1,1,4,1,0,0.777963697,,,,,
Santa Clara,Lease,BEV,Nissan,2,,5,5,3,5,1,1,0,1.224368966,,,,,
Contra Costa,Purchase,PHEV,Toyota,2,,4,4,1,2,2,1,0,1.287399861,,,,,
Alameda,Lease,BEV,Other,2,,4,4,5,2,3,0,0,0.879076165,,,,,
Ventura,Lease,BEV,Other,2,,1,5,5,1,1,0,0,0.870679813,,,,,
Sonoma,Purchase,BEV,Chevrolet,2,,4,4,1,1,,0,0,0.555692323,,,,,
Alameda,Purchase,BEV,FIAT,2,,5,5,1,1,5,1,0,0.890441653,,,,,
Napa,Lease,BEV,Chevrolet,2,,3,5,5,1,1,1,0,0.65368079,,,,,
Contra Costa,Purchase,PHEV,Chevrolet,2,,5,5,,,,1,0,0.969755576,,,,,
Sonoma,Lease,BEV,Other,2,,1,5,5,1,,1,0,0.862709351,,,,,
San Mateo,Purchase,BEV,Other,2,,5,5,3,5,1,1,0,0.675057515,,,,,
Los Angeles,Purchase,PHEV,Other,2,,3,3,2,4,4,1,1,0.863450739,,,,,
Orange,Purchase,BEV,Tesla,2,,4,4,1,2,4,1,0,0.972074631,,,,,
Orange,Purchase,BEV,Tesla,2,,3,3,,2,,1,0,0.972074631,,,,,
Ventura,Lease,PHEV,Chevrolet,2,,3,4,5,5,1,1,0,1.023032375,,,,,
Los Angeles,Lease,PHEV,Chevrolet,2,,3,4,3,2,4,1,0,1.255790796,,,,,
Ventura,Lease,PHEV,Chevrolet,2,,4,4,3,1,2,1,0,1.023032375,,,,,
Ventura,Lease,BEV,FIAT,2,,5,5,5,5,,1,0,0.904131654,,,,,
Alameda,Purchase,BEV,Tesla,2,,4,4,1,1,1,1,0,0.977121928,,,,,
Alameda,Purchase,PHEV,Other,2,,4,4,1,2,1,1,0,0.883484786,,,,,
Los Angeles,Purchase,BEV,Tesla,2,,2,2,1,2,1,1,0,0.954964549,,,,,
Orange,Purchase,BEV,FIAT,2,,5,5,1,1,3,1,0,0.885842101,,,,,
San Diego,Lease,BEV,Ford,2,,5,5,5,3,,1,0,0.793477605,,,,,
Santa Clara,Purchase,BEV,Tesla,2,,5,5,1,1,5,1,0,0.970452121,,,,,
Contra Costa,Purchase,PHEV,Ford,2,,4,4,1,3,4,1,0,0.826952459,,,,,
San Diego,Purchase,PHEV,Ford,2,,4,3,1,2,1,0,0,0.691284086,,,,,
San Mateo,Purchase,BEV,Tesla,2,,4,4,1,5,1,0,0,0.899770103,,,,,
Santa Clara,Purchase,BEV,Nissan,2,,5,5,1,1,5,1,0,0.960056248,,,,,
Stanislaus,Purchase,BEV,Ford,2,,4,4,1,1,4,1,0,0.497790532,,,,,
Los Angeles,Lease,PHEV,Ford,2,,5,5,5,1,5,1,0,1.070867044,,,,,
Los Angeles,Purchase,BEV,Chevrolet,2,,5,4,1,1,3,1,0,0.688424448,,,,,
Orange,Lease,PHEV,Ford,2,,2,3,4,1,2,1,0,1.090053748,,,,,
Los Angeles,Lease,BEV,BMW,2,,5,5,5,2,,1,0,0.879689555,,,,,
Los Angeles,Lease,PHEV,Chevrolet,2,,3,3,4,1,1,1,0,1.255790796,,,,,
Mendocino,Lease,PHEV,Chevrolet,2,,,5,5,1,5,1,0,0.680443469,,,,,
Orange,Purchase,PHEV,Chevrolet,2,,5,3,1,5,3,1,0,1.002337596,,,,,
Marin,Purchase,BEV,Tesla,2,,2,2,1,1,1,1,0,0.863908889,,,,,
Santa Clara,Purchase,BEV,Tesla,2,,4,4,1,1,1,1,0,0.970452121,,,,,
San Mateo,Purchase,BEV,Tesla,2,,4,4,1,1,3,1,0,0.956926686,,,,,
Los Angeles,Lease,BEV,Tesla,2,,3,3,3,1,1,1,0,1.217875474,,,,,
Orange,Purchase,BEV,Tesla,2,,4,4,1,1,1,1,0,0.972074631,,,,,
San Mateo,Purchase,BEV,Tesla,2,,5,5,4,5,3,1,0,0.956926686,,,,,
Los Angeles,Lease,BEV,Other,2,,5,5,3,1,2,1,0,0.837122282,,,,,
Sacramento,Purchase,BEV,Nissan,2,,3,3,,,,1,0,0.679592878,,,,,
San Diego,Purchase,BEV,BMW,2,,5,5,1,1,1,1,0,0.579689099,,,,,
Ventura,Lease,PHEV,Ford,2,,4,4,5,1,1,1,0,0.993922188,,,,,
Los Angeles,Purchase,BEV,Other,2,,4,4,1,3,2,1,0,0.656407095,,,,,
San Francisco,Purchase,PHEV,Toyota,2,,3,3,1,4,1,1,0,1.278867966,,,,,
Contra Costa,Lease,BEV,FIAT,2,,3,3,4,1,3,1,0,1.093000139,,,,,
Orange,Lease,BEV,Other,2,,5,5,5,3,4,1,0,0.852120986,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,2,,5,5,1,3,4,1,0,0.984694837,,,,,
Santa Clara,Purchase,PHEV,Ford,2,,4,4,1,1,2,1,0,0.853309895,,,,,
Orange,Purchase,PHEV,Toyota,2,,1,1,1,1,3,1,0,1.33065415,,,,,
San Mateo,Purchase,BEV,Ford,2,,4,4,1,1,1,1,0,0.757310213,,,,,
San Diego,Purchase,PHEV,Chevrolet,2,,3,3,1,2,1,1,0,0.810659174,,,,,
Los Angeles,Purchase,BEV,Tesla,2,,3,3,2,4,3,1,0,0.954964549,,,,,
San Francisco,Purchase,BEV,Tesla,2,,1,1,1,1,1,0,0,0.934243587,,,,,
Fresno,Lease,BEV,FIAT,2,,4,4,4,2,4,1,0,0.965836393,,,,,
Contra Costa,Lease,BEV,FIAT,2,,5,5,5,4,4,1,0,1.093000139,,,,,
Contra Costa,Purchase,BEV,BMW,2,,3,3,1,1,1,1,0,0.679320038,,,,,
Sonoma,Lease,BEV,Nissan,2,,4,4,4,1,1,1,0,0.972531242,,,,,
San Diego,Lease,BEV,Chevrolet,2,,1,4,4,1,1,1,0,0.722784051,,,,,
Santa Clara,Lease,BEV,Nissan,2,,5,4,3,2,1,1,0,1.224368966,,,,,
Los Angeles,Lease,BEV,FIAT,2,,5,5,5,5,4,1,1,1.109838005,,,,,
Monterey,Purchase,PHEV,Chevrolet,2,,3,3,1,1,1,1,0,0.742990674,,,,,
Sacramento,Purchase,PHEV,Ford,2,,2,2,1,1,1,0,0,0.604030575,,,,,
Orange,Purchase,PHEV,Toyota,2,,5,5,1,1,5,1,0,1.33065415,,,,,
Alameda,Purchase,BEV,Ford,2,,5,5,1,2,2,1,0,0.773292695,,,,,
San Mateo,Purchase,BEV,Ford,2,,5,5,1,4,5,1,0,0.757310213,,,,,
Riverside,Purchase,PHEV,Ford,2,,5,4,1,1,1,1,0,0.827637747,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,2,,5,5,,2,4,1,0,0.984694837,,,,,
Sonoma,Purchase,BEV,Tesla,2,,3,3,1,1,1,1,0,0.770841986,,,,,
Los Angeles,Lease,PHEV,Ford,2,,5,5,5,5,4,1,0,1.070867044,,,,,
Los Angeles,Lease,BEV,Other,2,,4,4,4,4,4,0,0,0.859142089,,,,,
Contra Costa,Lease,PHEV,Chevrolet,2,,3,3,5,4,5,1,0,1.236738613,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,2,,5,5,2,1,1,1,0,0.984694837,,,,,
Alameda,Lease,BEV,Nissan,2,,4,5,5,4,3,1,0,1.232783915,,,,,
Santa Clara,Lease,BEV,FIAT,2,,,2,,,,1,0,1.127837307,,,,,
Orange,Lease,BEV,Other,2,,3,4,4,3,1,1,0,0.852120986,,,,,
Santa Clara,Lease,BEV,Nissan,2,,2,2,4,4,1,1,0,1.224368966,,,,,
