home_loc,dest_loc,HomeTAZfactor,superD_dest,n,dest_lat,dest_lon,HomeTAZ,home_lat,home_lon,opt_time,pes_time,transit_time
37.3096719333333+-121.952809696667,37.3010931597673+-121.989369051801,470,10.0,968,37.30109316,-121.9893691,470,37.30967193,-121.9528097,396.0,526.0,1458.0
37.309867382199+-121.923786104712,37.3207019697235+-121.904550622856,533,11.0,1575,37.32070197,-121.9045506,533,37.30986738,-121.9237861,402.0,528.0,1025.0
37.3103195697674+-121.805555453488,37.3861960858995+-121.866317929335,651,12.0,1020,37.38619609,-121.8663179,651,37.31031957,-121.8055555,693.0,880.0,3567.0
37.3108873076923+-121.76765925641,37.3861960858995+-121.866317929335,653,12.0,1634,37.38619609,-121.8663179,653,37.31088731,-121.7676593,991.0,1401.0,4616.0
37.310941+-121.833563,37.3207019697235+-121.904550622856,576,11.0,763,37.32070197,-121.9045506,576,37.310941,-121.833563,517.0,780.0,3374.0
37.3130383882979+-121.975033457447,37.3010931597673+-121.989369051801,472,10.0,931,37.30109316,-121.9893691,472,37.31303839,-121.9750335,246.0,354.0,1752.0
37.3143688271028+-121.935525488318,37.3207019697235+-121.904550622856,534,11.0,763,37.32070197,-121.9045506,534,37.31436883,-121.9355255,403.0,617.0,1726.0
37.3146943333333+-121.8997406,37.3207019697235+-121.904550622856,559,11.0,868,37.32070197,-121.9045506,559,37.31469433,-121.8997406,194.0,270.0,1105.0
37.3151435176471+-121.9817632,37.3010931597673+-121.989369051801,477,10.0,872,37.30109316,-121.9893691,477,37.31514352,-121.9817632,282.0,387.0,1710.0
37.3156245037594+-121.841468488722,37.3207019697235+-121.904550622856,578,11.0,1320,37.32070197,-121.9045506,578,37.3156245,-121.8414685,585.0,843.0,3363.0
37.316423625+-121.79989275,37.3861960858995+-121.866317929335,650,12.0,996,37.38619609,-121.8663179,650,37.31642363,-121.7998928,700.0,1063.0,3849.0
37.3168169+-121.87986635,37.3207019697235+-121.904550622856,562,11.0,1071,37.32070197,-121.9045506,562,37.3168169,-121.8798664,283.0,427.0,2428.0
37.3171015261905+-121.909737966667,37.3207019697235+-121.904550622856,537,11.0,892,37.32070197,-121.9045506,537,37.31710153,-121.909738,162.0,241.0,630.0
37.3178335+-121.781465625,37.3861960858995+-121.866317929335,648,12.0,828,37.38619609,-121.8663179,648,37.3178335,-121.7814656,815.0,1259.0,4685.0
37.3189101402878+-121.967079859712,37.3010931597673+-121.989369051801,471,10.0,786,37.30109316,-121.9893691,471,37.31891014,-121.9670799,398.0,698.0,2022.0
37.32040105+-122.069263107143,37.3010931597673+-121.989369051801,488,10.0,1113,37.30109316,-121.9893691,488,37.32040105,-122.0692631,640.0,957.0,3945.0
37.3205902707838+-122.02733416152,37.3010931597673+-121.989369051801,484,10.0,1306,37.30109316,-121.9893691,484,37.32059027,-122.0273342,547.0,670.0,NA
37.3207126607143+-121.980594080357,37.3010931597673+-121.989369051801,478,10.0,895,37.30109316,-121.9893691,478,37.32071266,-121.9805941,383.0,670.0,1968.0
37.3207800227273+-121.917802204545,37.3207019697235+-121.904550622856,536,11.0,1113,37.32070197,-121.9045506,536,37.32078002,-121.9178022,261.0,367.0,1009.0
37.3211733569024+-122.00296140404,37.3010931597673+-121.989369051801,479,10.0,1573,37.30109316,-121.9893691,479,37.32117336,-122.0029614,315.0,467.0,2548.0
37.3211733569024+-122.00296140404,37.3787519414778+-121.994584766866,479,9.0,796,37.37875194,-121.9945848,479,37.32117336,-122.0029614,586.0,1030.0,5236.0
37.3215768181818+-121.820453318182,37.3861960858995+-121.866317929335,583,12.0,1200,37.38619609,-121.8663179,583,37.32157682,-121.8204533,642.0,925.0,2450.0
37.321641+-121.840864,37.3207019697235+-121.904550622856,577,11.0,984,37.32070197,-121.9045506,577,37.321641,-121.840864,507.0,742.0,3167.0
37.3244436956522+-121.871384347826,37.3207019697235+-121.904550622856,561,11.0,731,37.32070197,-121.9045506,561,37.3244437,-121.8713843,371.0,525.0,2280.0
37.3245053529412+-121.930711176471,37.3207019697235+-121.904550622856,535,11.0,1045,37.32070197,-121.9045506,535,37.32450535,-121.9307112,431.0,652.0,959.0
37.32526+-121.831341,37.3861960858995+-121.866317929335,581,12.0,781,37.38619609,-121.8663179,581,37.32526,-121.831341,535.0,663.0,2171.0
37.3262985806452+-121.918477072581,37.3207019697235+-121.904550622856,541,11.0,813,37.32070197,-121.9045506,541,37.32629858,-121.9184771,302.0,346.0,918.0
37.3267370759494+-121.886685468354,37.3207019697235+-121.904550622856,560,11.0,1241,37.32070197,-121.9045506,560,37.32673708,-121.8866855,222.0,299.0,1554.0
37.327973+-121.831298,37.3861960858995+-121.866317929335,584,12.0,768,37.38619609,-121.8663179,584,37.327973,-121.831298,526.0,765.0,1933.0
37.3294321744186+-122.042069962209,37.3010931597673+-121.989369051801,486,10.0,1076,37.30109316,-121.9893691,486,37.32943217,-122.04207,694.0,979.0,2660.0
37.330373046875+-121.961406291667,37.3010931597673+-121.989369051801,465,10.0,694,37.30109316,-121.9893691,465,37.33037305,-121.9614063,560.0,791.0,3214.0
37.330373046875+-121.961406291667,37.3787519414778+-121.994584766866,465,9.0,677,37.37875194,-121.9945848,465,37.33037305,-121.9614063,627.0,981.0,3577.0
37.3323497692308+-121.879238138462,37.3207019697235+-121.904550622856,556,11.0,1110,37.32070197,-121.9045506,556,37.33234977,-121.8792381,282.0,395.0,1688.0
37.3333636436782+-121.914065689655,37.3207019697235+-121.904550622856,540,11.0,884,37.32070197,-121.9045506,540,37.33336364,-121.9140657,420.0,499.0,1210.0
37.3334172084942+-122.022719785714,37.3010931597673+-121.989369051801,485,10.0,1047,37.30109316,-121.9893691,485,37.33341721,-122.0227198,598.0,787.0,3691.0
37.3334172084942+-122.022719785714,37.3787519414778+-121.994584766866,485,9.0,676,37.37875194,-121.9945848,485,37.33341721,-122.0227198,645.0,1014.0,4884.0
37.3339365+-121.8303105,37.3861960858995+-121.866317929335,586,12.0,982,37.38619609,-121.8663179,586,37.3339365,-121.8303105,524.0,728.0,1805.0
37.33541196337+-121.886619047619,37.3207019697235+-121.904550622856,557,11.0,987,37.32070197,-121.9045506,557,37.33541196,-121.886619,272.0,458.0,1282.0
