HomeTAZfactor,superD_dest,taz_driving,taz_transit,commuter_count,home_lat,home_lon,dest_lat,dest_lon
29,5.0,32.0,55.0,58,37.79109081846154,-122.41071688923077,37.65355542190556,-122.44983365772562
29,18.0,40.0,54.0,57,37.79109081846154,-122.41071688923077,37.79525905351587,-122.23454234396391
29,19.0,33.0,51.0,28,37.79109081846154,-122.41071688923077,37.86314654588441,-122.27415722294221
30,1.0,6.0,10.0,1611,37.78600106,-122.4174297,37.788717654718205,-122.40900092053552
30,2.0,9.0,18.0,497,37.78600106,-122.4174297,37.78494491888719,-122.44528827456274
30,3.0,21.0,20.0,375,37.78600106,-122.4174297,37.75073743885415,-122.42052814221317
30,4.0,30.0,37.0,50,37.78600106402439,-122.4174296859756,37.742438374444,-122.4808705677315
30,5.0,34.0,54.0,77,37.78600106402439,-122.4174296859756,37.65355542190556,-122.44983365772562
30,6.0,37.0,92.0,23,37.78600106402439,-122.4174296859756,37.54880006373962,-122.3030570928971
30,18.0,45.0,57.0,53,37.78600106402439,-122.4174296859756,37.79525905351587,-122.23454234396391
30,19.0,35.0,52.0,26,37.78600106402439,-122.4174296859756,37.86314654588441,-122.27415722294221
31,1.0,5.0,11.0,897,37.78823556,-122.4180916,37.788717654718205,-122.40900092053552
31,2.0,10.0,16.0,275,37.78823556,-122.4180916,37.78494491888719,-122.44528827456274
31,3.0,24.0,35.0,180,37.78823556428571,-122.41809159642857,37.75073743885415,-122.42052814221317
31,4.0,29.0,39.0,31,37.78823556428571,-122.41809159642857,37.742438374444,-122.4808705677315
31,5.0,33.0,60.0,38,37.78823556428571,-122.41809159642857,37.65355542190556,-122.44983365772562
31,6.0,38.0,109.0,20,37.78823556428571,-122.41809159642857,37.54880006373962,-122.3030570928971
31,18.0,35.0,55.0,28,37.78823556428571,-122.41809159642857,37.79525905351587,-122.23454234396391
32,1.0,7.0,15.0,1209,37.79155604,-122.4185422,37.788717654718205,-122.40900092053552
32,2.0,9.0,19.0,415,37.79155604,-122.4185422,37.78494491888719,-122.44528827456274
32,3.0,23.0,31.0,275,37.79155604,-122.4185422,37.75073743885415,-122.42052814221317
32,4.0,32.0,41.0,51,37.79155604158416,-122.41854218019802,37.742438374444,-122.4808705677315
32,5.0,38.0,62.0,67,37.79155604158416,-122.41854218019802,37.65355542190556,-122.44983365772562
32,18.0,43.0,64.0,47,37.79155604158416,-122.41854218019802,37.79525905351587,-122.23454234396391
32,19.0,37.0,64.0,24,37.79155604158416,-122.41854218019802,37.86314654588441,-122.27415722294221
33,1.0,8.0,12.0,1049,37.79446764,-122.4196893,37.788717654718205,-122.40900092053552
33,2.0,10.0,23.0,330,37.79446764,-122.4196893,37.78494491888719,-122.44528827456274
33,3.0,23.0,39.0,241,37.79446764,-122.4196893,37.75073743885415,-122.42052814221317
33,4.0,31.0,41.0,39,37.79446763803681,-122.41968930674847,37.742438374444,-122.4808705677315
33,5.0,40.0,70.0,49,37.79446763803681,-122.41968930674847,37.65355542190556,-122.44983365772562
33,6.0,41.0,91.0,24,37.79446763803681,-122.41968930674847,37.54880006373962,-122.3030570928971
33,18.0,44.0,64.0,52,37.79446763803681,-122.41968930674847,37.79525905351587,-122.23454234396391
33,19.0,36.0,62.0,27,37.79446763803681,-122.41968930674847,37.86314654588441,-122.27415722294221
34,1.0,9.0,14.0,952,37.79848278,-122.4199373,37.788717654718205,-122.40900092053552
34,2.0,11.0,30.0,266,37.79848278,-122.4199373,37.78494491888719,-122.44528827456274
34,3.0,29.0,39.0,188,37.79848278205128,-122.41993732051282,37.75073743885415,-122.42052814221317
34,4.0,28.0,43.0,27,37.79848278205128,-122.41993732051282,37.742438374444,-122.4808705677315
34,5.0,38.0,71.0,59,37.79848278205128,-122.41993732051282,37.65355542190556,-122.44983365772562
