taz_key,median_rent,no_of_rentals,taz_driving,taz_transit,commuter_count,home_superD,commute_cost_min,commute_cost_median,all_costs,all_index,com_index,rent_index
1431.0,1795.0,153,25.0,81.0,3038,33.0,260.0,773.0,2568.0,28.0,44.0,21.0
1432.0,2200.0,44,27.0,64.0,1712,33.0,242.0,719.0,2919.0,32.0,41.0,26.0
1433.0,2290.0,39,28.0,84.0,1185,33.0,280.0,833.0,3123.0,34.0,47.0,27.0
1434.0,2100.0,50,34.0,86.0,1924,33.0,313.0,932.0,3032.0,33.0,53.0,25.0
1435.0,7725.0,26,23.0,77.0,764,33.0,243.0,724.0,8449.0,92.0,41.0,91.0
1436.0,4e3,87,17.0,56.0,661,34.0,178.0,530.0,4530.0,49.0,30.0,47.0
1437.0,3250.0,82,25.0,82.0,2446,34.0,262.0,778.0,4028.0,44.0,44.0,38.0
1438.0,4864.0,213,21.0,85.0,2090,34.0,247.0,733.0,5597.0,61.0,42.0,57.0
1440.0,2795.0,277,25.0,70.0,2587,34.0,242.0,719.0,3514.0,38.0,41.0,33.0
1441.0,2288.0,181,19.0,72.0,1736,34.0,215.0,639.0,2927.0,32.0,36.0,27.0
1442.0,3300.0,164,23.0,56.0,1890,34.0,208.0,619.0,3919.0,43.0,35.0,39.0
1443.0,2800.0,49,16.0,50.0,1311,34.0,163.0,486.0,3286.0,36.0,28.0,33.0
1444.0,3400.0,59,20.0,62.0,1514,34.0,203.0,605.0,4005.0,44.0,34.0,40.0
1445.0,3300.0,266,21.0,66.0,1619,34.0,215.0,639.0,3939.0,43.0,36.0,39.0
1446.0,3915.0,223,27.0,70.0,1680,34.0,252.0,748.0,4663.0,51.0,43.0,46.0
1447.0,8500.0,19,27.0,54.0,516,34.0,225.0,669.0,9169.0,100.0,38.0,100.0
1448.0,3600.0,271,27.0,76.0,2965,34.0,262.0,778.0,4378.0,48.0,44.0,42.0
1449.0,2235.0,111,21.0,53.0,929,34.0,193.0,575.0,2810.0,31.0,33.0,26.0
1450.0,2700.0,178,24.0,73.0,2352,34.0,242.0,719.0,3419.0,37.0,41.0,32.0
1451.0,4250.0,50,26.0,68.0,1732,34.0,243.0,724.0,4974.0,54.0,41.0,50.0
1452.0,4500.0,90,27.0,60.0,1585,34.0,235.0,699.0,5199.0,57.0,40.0,53.0
1453.0,5600.0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.0
1454.0,2450.0,7,56.0,124.0,497,NA,487.0,1447.0,3897.0,43.0,82.0,29.0
