,HomeTAZfactor,superD_dest,taz_driving,taz_transit,commuter_count,home_lat,home_lon,dest_lat,dest_lon,line,geometry
44,12,1.0,7.0,10.0,52,37.786811552631576,-122.40115303508772,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4011530350877 37.78681155263158, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4011530350877 37.78681155263158, -122.4090009205355 37.78871765471821)"
45,13,1.0,11.0,9.0,61,37.78987146153846,-122.39875576923076,37.78871765471821,-122.4090009205355,"LINESTRING (-122.3987557692308 37.78987146153846, -122.4090009205355 37.78871765471821)","LINESTRING (-122.3987557692308 37.78987146153846, -122.4090009205355 37.78871765471821)"
46,14,1.0,12.0,12.0,50,37.79108666923077,-122.39588184615386,37.78871765471821,-122.4090009205355,"LINESTRING (-122.3958818461539 37.79108666923077, -122.4090009205355 37.78871765471821)","LINESTRING (-122.3958818461539 37.79108666923077, -122.4090009205355 37.78871765471821)"
47,15,1.0,14.0,16.0,288,37.78883218,-122.3936511,37.78871765471821,-122.4090009205355,"LINESTRING (-122.3936511 37.78883218, -122.4090009205355 37.78871765471821)","LINESTRING (-122.3936511 37.78883218, -122.4090009205355 37.78871765471821)"
48,15,2.0,20.0,31.0,28,37.788832181799606,-122.39365110949,37.784944918887184,-122.44528827456274,"LINESTRING (-122.39365110949 37.78883218179961, -122.4452882745627 37.78494491888718)","LINESTRING (-122.39365110949 37.78883218179961, -122.4452882745627 37.78494491888718)"
49,15,3.0,20.0,20.0,29,37.788832181799606,-122.39365110949,37.75073743885415,-122.42052814221316,"LINESTRING (-122.39365110949 37.78883218179961, -122.4205281422132 37.75073743885415)","LINESTRING (-122.39365110949 37.78883218179961, -122.4205281422132 37.75073743885415)"
50,16,1.0,13.0,19.0,568,37.78790831,-122.39421709999999,37.78871765471821,-122.4090009205355,"LINESTRING (-122.3942171 37.78790831, -122.4090009205355 37.78871765471821)","LINESTRING (-122.3942171 37.78790831, -122.4090009205355 37.78871765471821)"
51,16,2.0,24.0,32.0,54,37.78790830533118,-122.39421714054927,37.784944918887184,-122.44528827456274,"LINESTRING (-122.3942171405493 37.78790830533118, -122.4452882745627 37.78494491888718)","LINESTRING (-122.3942171405493 37.78790830533118, -122.4452882745627 37.78494491888718)"
52,16,3.0,22.0,23.0,99,37.78790830533118,-122.39421714054927,37.75073743885415,-122.42052814221316,"LINESTRING (-122.3942171405493 37.78790830533118, -122.4205281422132 37.75073743885415)","LINESTRING (-122.3942171405493 37.78790830533118, -122.4205281422132 37.75073743885415)"
53,16,4.0,27.0,37.0,20,37.78790830533118,-122.39421714054927,37.742438374444,-122.4808705677315,"LINESTRING (-122.3942171405493 37.78790830533118, -122.4808705677315 37.742438374444)","LINESTRING (-122.3942171405493 37.78790830533118, -122.4808705677315 37.742438374444)"
54,16,18.0,20.0,51.0,31,37.78790830533118,-122.39421714054927,37.79525905351587,-122.23454234396392,"LINESTRING (-122.3942171405493 37.78790830533118, -122.2345423439639 37.79525905351587)","LINESTRING (-122.3942171405493 37.78790830533118, -122.2345423439639 37.79525905351587)"
55,17,1.0,16.0,24.0,1716,37.78558955,-122.39088090000001,37.78871765471821,-122.4090009205355,"LINESTRING (-122.3908809 37.78558955, -122.4090009205355 37.78871765471821)","LINESTRING (-122.3908809 37.78558955, -122.4090009205355 37.78871765471821)"
56,17,2.0,27.0,32.0,188,37.78558955060034,-122.39088085248713,37.784944918887184,-122.44528827456274,"LINESTRING (-122.3908808524871 37.78558955060034, -122.4452882745627 37.78494491888718)","LINESTRING (-122.3908808524871 37.78558955060034, -122.4452882745627 37.78494491888718)"
57,17,3.0,17.0,27.0,385,37.78558955,-122.39088090000001,37.75073743885415,-122.42052814221316,"LINESTRING (-122.3908809 37.78558955, -122.4205281422132 37.75073743885415)","LINESTRING (-122.3908809 37.78558955, -122.4205281422132 37.75073743885415)"
58,17,4.0,34.0,36.0,40,37.78558955060034,-122.39088085248713,37.742438374444,-122.4808705677315,"LINESTRING (-122.3908808524871 37.78558955060034, -122.4808705677315 37.742438374444)","LINESTRING (-122.3908808524871 37.78558955060034, -122.4808705677315 37.742438374444)"
59,17,5.0,31.0,61.0,84,37.78558955060034,-122.39088085248713,37.65355542190556,-122.44983365772562,"LINESTRING (-122.3908808524871 37.78558955060034, -122.4498336577256 37.65355542190556)","LINESTRING (-122.3908808524871 37.78558955060034, -122.4498336577256 37.65355542190556)"
60,17,6.0,34.0,64.0,27,37.78558955060034,-122.39088085248713,37.54880006373962,-122.30305709289709,"LINESTRING (-122.3908808524871 37.78558955060034, -122.3030570928971 37.54880006373962)","LINESTRING (-122.3908808524871 37.78558955060034, -122.3030570928971 37.54880006373962)"
61,17,18.0,32.0,56.0,96,37.78558955060034,-122.39088085248713,37.79525905351587,-122.23454234396392,"LINESTRING (-122.3908808524871 37.78558955060034, -122.2345423439639 37.79525905351587)","LINESTRING (-122.3908808524871 37.78558955060034, -122.2345423439639 37.79525905351587)"
62,17,19.0,34.0,49.0,49,37.78558955060034,-122.39088085248713,37.863146545884405,-122.2741572229422,"LINESTRING (-122.3908808524871 37.78558955060034, -122.2741572229422 37.8631465458844)","LINESTRING (-122.3908808524871 37.78558955060034, -122.2741572229422 37.8631465458844)"
63,18,1.0,16.0,18.0,92,37.77931353169735,-122.3969101329243,37.78871765471821,-122.4090009205355,"LINESTRING (-122.3969101329243 37.77931353169735, -122.4090009205355 37.78871765471821)","LINESTRING (-122.3969101329243 37.77931353169735, -122.4090009205355 37.78871765471821)"
64,18,3.0,19.0,25.0,42,37.77931353169735,-122.3969101329243,37.75073743885415,-122.42052814221316,"LINESTRING (-122.3969101329243 37.77931353169735, -122.4205281422132 37.75073743885415)","LINESTRING (-122.3969101329243 37.77931353169735, -122.4205281422132 37.75073743885415)"
65,19,1.0,13.0,20.0,313,37.77219101,-122.40638090000002,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4063809 37.77219101, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4063809 37.77219101, -122.4090009205355 37.78871765471821)"
66,19,2.0,22.0,36.0,61,37.77219101190476,-122.40638089285713,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4063808928571 37.77219101190476, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4063808928571 37.77219101190476, -122.4452882745627 37.78494491888718)"
67,19,3.0,14.0,25.0,187,37.77219101190476,-122.40638089285713,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4063808928571 37.77219101190476, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4063808928571 37.77219101190476, -122.4205281422132 37.75073743885415)"
68,19,5.0,17.0,58.0,23,37.77219101190476,-122.40638089285713,37.65355542190556,-122.44983365772562,"LINESTRING (-122.4063808928571 37.77219101190476, -122.4498336577256 37.65355542190556)","LINESTRING (-122.4063808928571 37.77219101190476, -122.4498336577256 37.65355542190556)"
69,20,1.0,14.0,21.0,497,37.77435171,-122.412539,37.78871765471821,-122.4090009205355,"LINESTRING (-122.412539 37.77435171, -122.4090009205355 37.78871765471821)","LINESTRING (-122.412539 37.77435171, -122.4090009205355 37.78871765471821)"
70,20,2.0,16.0,40.0,85,37.77435170833333,-122.41253902314814,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4125390231481 37.77435170833333, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4125390231481 37.77435170833333, -122.4452882745627 37.78494491888718)"
71,20,3.0,16.0,21.0,172,37.77435170833333,-122.41253902314814,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4125390231481 37.77435170833333, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4125390231481 37.77435170833333, -122.4205281422132 37.75073743885415)"
72,20,4.0,32.0,28.0,49,37.77435170833333,-122.41253902314814,37.742438374444,-122.4808705677315,"LINESTRING (-122.4125390231481 37.77435170833333, -122.4808705677315 37.742438374444)","LINESTRING (-122.4125390231481 37.77435170833333, -122.4808705677315 37.742438374444)"
73,20,5.0,20.0,52.0,31,37.77435170833333,-122.41253902314814,37.65355542190556,-122.44983365772562,"LINESTRING (-122.4125390231481 37.77435170833333, -122.4498336577256 37.65355542190556)","LINESTRING (-122.4125390231481 37.77435170833333, -122.4498336577256 37.65355542190556)"
74,21,1.0,10.0,16.0,668,37.78155931,-122.40172220000001,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4017222 37.78155931, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4017222 37.78155931, -122.4090009205355 37.78871765471821)"
75,21,2.0,23.0,37.0,112,37.78155930689656,-122.40172217413792,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4017221741379 37.78155930689656, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4017221741379 37.78155930689656, -122.4452882745627 37.78494491888718)"
76,21,3.0,12.0,20.0,192,37.78155931,-122.40172220000001,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4017222 37.78155931, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4017222 37.78155931, -122.4205281422132 37.75073743885415)"
77,21,4.0,23.0,35.0,31,37.78155930689656,-122.40172217413792,37.742438374444,-122.4808705677315,"LINESTRING (-122.4017221741379 37.78155930689656, -122.4808705677315 37.742438374444)","LINESTRING (-122.4017221741379 37.78155930689656, -122.4808705677315 37.742438374444)"
78,21,5.0,18.0,54.0,28,37.78155930689656,-122.40172217413792,37.65355542190556,-122.44983365772562,"LINESTRING (-122.4017221741379 37.78155930689656, -122.4498336577256 37.65355542190556)","LINESTRING (-122.4017221741379 37.78155930689656, -122.4498336577256 37.65355542190556)"
79,21,18.0,32.0,55.0,35,37.78155930689656,-122.40172217413792,37.79525905351587,-122.23454234396392,"LINESTRING (-122.4017221741379 37.78155930689656, -122.2345423439639 37.79525905351587)","LINESTRING (-122.4017221741379 37.78155930689656, -122.2345423439639 37.79525905351587)"
80,22,1.0,12.0,15.0,428,37.79736702,-122.39905359999999,37.78871765471821,-122.4090009205355,"LINESTRING (-122.3990536 37.79736702, -122.4090009205355 37.78871765471821)","LINESTRING (-122.3990536 37.79736702, -122.4090009205355 37.78871765471821)"
81,22,2.0,22.0,34.0,55,37.79736701515152,-122.39905362121212,37.784944918887184,-122.44528827456274,"LINESTRING (-122.3990536212121 37.79736701515152, -122.4452882745627 37.78494491888718)","LINESTRING (-122.3990536212121 37.79736701515152, -122.4452882745627 37.78494491888718)"
82,22,3.0,31.0,20.0,73,37.79736701515152,-122.39905362121212,37.75073743885415,-122.42052814221316,"LINESTRING (-122.3990536212121 37.79736701515152, -122.4205281422132 37.75073743885415)","LINESTRING (-122.3990536212121 37.79736701515152, -122.4205281422132 37.75073743885415)"
83,22,5.0,31.0,54.0,23,37.79736701515152,-122.39905362121212,37.65355542190556,-122.44983365772562,"LINESTRING (-122.3990536212121 37.79736701515152, -122.4498336577256 37.65355542190556)","LINESTRING (-122.3990536212121 37.79736701515152, -122.4498336577256 37.65355542190556)"
84,22,18.0,36.0,53.0,37,37.79736701515152,-122.39905362121212,37.79525905351587,-122.23454234396392,"LINESTRING (-122.3990536212121 37.79736701515152, -122.2345423439639 37.79525905351587)","LINESTRING (-122.3990536212121 37.79736701515152, -122.2345423439639 37.79525905351587)"
85,23,1.0,12.0,20.0,166,37.79977893835617,-122.40146492465752,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4014649246575 37.79977893835617, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4014649246575 37.79977893835617, -122.4090009205355 37.78871765471821)"
86,23,2.0,17.0,39.0,23,37.79977893835617,-122.40146492465752,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4014649246575 37.79977893835617, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4014649246575 37.79977893835617, -122.4452882745627 37.78494491888718)"
87,23,3.0,25.0,26.0,26,37.79977893835617,-122.40146492465752,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4014649246575 37.79977893835617, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4014649246575 37.79977893835617, -122.4205281422132 37.75073743885415)"
88,24,1.0,9.0,14.0,139,37.79513108695652,-122.40301786956522,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4030178695652 37.79513108695652, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4030178695652 37.79513108695652, -122.4090009205355 37.78871765471821)"
89,24,3.0,24.0,21.0,26,37.79513108695652,-122.40301786956522,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4030178695652 37.79513108695652, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4030178695652 37.79513108695652, -122.4205281422132 37.75073743885415)"
